Year,China,India,USA,Indonesia,Pakistan,Brazil,Nigeria,Bangladesh,Russia,Ethiopia
2000,1264,1059,281,214,142,175,123,131,146,67
2001,1271,1075,285,217,145,178,126,133,146,70
2002,1278,1092,288,220,148,181,130,135,145,73
2003,1285,1108,291,222,151,184,134,137,145,76
2004,1292,1125,294,225,155,187,138,140,144,79
2005,1301,1142,298,228,158,190,143,142,143,82
2006,1310,1159,301,231,162,193,148,144,142,86
2007,1318,1176,305,234,166,196,153,147,142,90
2008,1325,1193,308,237,170,199,158,149,142,93
2009,1331,1210,312,240,175,202,163,151,142,97
2010,1338,1227,316,244,179,205,169,154,143,101
2011,1344,1244,319,247,183,208,175,156,143,105
2012,1350,1261,322,251,188,211,181,158,143,109
2013,1356,1279,326,254,193,214,188,161,144,113
2014,1362,1296,330,258,198,207,194,163,144,118
2015,1368,1314,333,261,202,209,200,165,145,103
2016,1373,1332,336,264,207,211,207,168,146,108
2017,1379,1350,340,267,212,213,214,168,147,113
2018,1385,1369,343,271,218,215,221,168,147,119
2019,1400,1387,346,274,223,212,228,168,146,115
2020,1411,1406,332,273,228,214,216,167,146,120
2021,1412,1424,336,276,234,215,225,167,146,126
2022,1412,1417,338,279,240,216,233,168,145,123
2023,1409,1429,340,281,247,217,228,173,144,128
2024,1408,1441,342,284,254,218,232,175,143,133
