Round,Arsenal,Man City,Man United,Aston Villa,Liverpool,Bournemouth,Sunderland,Brighton,Brentford,Chelsea,Fulham,Newcastle,Everton,Leeds,Crystal Palace,Nottingham,Tottenham,West Ham,Burnley,Wolves
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,1,3,3,3,1,1,3,0,3,1,0,3,3,0,0,0,0,0
2,6,4,4,4,6,6,4,4,3,1,3,4,0,3,3,1,0,0,0,0
3,9,7,5,7,7,7,5,5,6,4,4,5,1,6,3,2,1,0,0,0
4,12,10,8,10,10,7,8,8,6,7,5,8,4,6,3,2,2,0,0,0
5,15,13,11,13,10,10,11,9,9,10,8,8,5,9,6,3,2,1,0,0
6,18,16,14,16,13,13,12,12,9,11,11,8,8,9,6,6,3,1,0,0
7,21,19,17,17,16,16,15,15,12,14,14,9,9,12,7,7,4,2,0,0
8,24,22,20,18,19,19,18,16,12,17,17,10,12,12,8,8,5,3,0,0
9,27,25,23,21,22,22,18,19,15,17,18,13,13,15,11,9,6,3,1,0
10,30,28,26,24,23,25,21,22,16,20,19,14,14,16,12,12,7,4,2,0
11,33,29,29,27,26,28,24,25,17,23,22,15,17,17,13,13,10,5,3,0
12,36,32,32,30,27,29,27,28,20,24,25,16,20,20,14,14,11,6,4,0
13,39,35,35,33,30,32,27,31,21,27,26,17,23,21,17,15,12,7,5,0
14,42,38,38,36,33,33,30,32,22,30,27,20,26,22,18,18,13,8,6,1
15,45,41,41,39,36,36,33,35,25,31,30,23,27,25,21,19,16,9,6,2
16,48,44,44,42,37,39,36,35,28,32,33,26,27,28,24,22,17,10,7,2
17,51,47,47,43,40,42,39,38,29,35,36,27,30,29,25,23,20,11,7,2
18,54,50,50,46,43,45,40,41,32,38,37,30,30,32,28,24,21,12,8,2
19,57,53,53,49,46,46,43,42,35,39,38,31,33,35,31,27,22,13,9,2
20,60,56,54,52,49,47,44,45,35,42,39,34,34,35,32,28,25,14,10,3
21,63,59,57,55,52,50,47,46,38,43,42,35,37,38,35,31,26,15,11,4
22,66,62,60,56,55,51,50,47,41,44,43,36,38,41,36,32,29,16,11,4
23,69,65,63,57,58,54,51,48,42,45,44,39,41,42,37,35,30,17,12,4
24,72,68,66,60,59,54,52,51,43,46,47,40,42,43,38,38,31,18,13,5
25,75,71,67,61,60,55,53,52,44,47,48,43,43,44,39,39,32,19,14,5
26,78,74,68,62,60,56,54,53,45,48,49,44,44,45,40,40,33,20,15,6
27,81,77,69,63,60,57,54,53,46,49,50,45,45,46,41,41,34,21,16,6
28,84,80,70,64,60,57,54,53,47,50,51,46,46,47,42,42,35,22,17,7
29,84,80,70,64,60,57,54,53,47,50,51,46,46,47,42,42,35,22,17,7
30,84,80,70,64,60,57,54,53,47,50,51,46,46,47,42,42,35,22,17,7
31,84,80,71,64,60,57,54,53,47,51,51,46,46,47,42,42,35,23,17,8
32,84,80,71,64,60,57,54,53,47,51,52,47,46,47,43,42,36,24,18,9
33,85,81,71,64,60,57,54,53,47,52,52,48,47,47,43,42,37,25,19,10
34,85,81,71,65,60,57,54,53,48,52,52,49,48,48,44,42,38,26,20,11
35,85,81,71,65,60,57,54,53,48,52,52,49,49,48,44,42,39,27,20,12
36,85,81,71,65,60,57,54,53,48,52,52,49,49,48,45,42,40,30,20,13
37,85,81,71,65,60,57,54,53,48,52,52,49,49,48,45,42,41,33,20,16
38,85,78,71,65,60,57,54,53,53,52,52,49,49,48,45,42,41,39,20,20
