Season,Man United,Arsenal,Chelsea,Man City,Liverpool,Tottenham,Blackburn,Newcastle,Leicester
1993,84,56,56,52,59,45,71,61,44
1994,92,71,51,56,60,45,84,77,51
1995,88,51,54,58,74,62,89,72,58
1996,82,63,50,45,71,61,61,78,56
1997,75,68,60,52,68,61,42,68,47
1998,77,78,63,45,65,61,40,44,53
1999,79,78,75,47,54,47,35,46,48
2000,91,73,65,46,67,53,0,63,55
2001,80,70,61,55,69,60,0,51,28
2002,77,87,64,54,80,50,46,71,42
2003,83,78,67,51,64,50,40,69,36
2004,75,90,79,41,60,45,44,56,33
2005,77,83,95,52,58,52,42,58,44
2006,83,67,91,43,82,56,42,58,44
2007,89,68,83,55,68,60,36,38,44
2008,87,83,85,58,76,46,36,42,44
2009,90,72,83,67,86,51,36,34,30
2010,85,75,86,67,63,70,36,0,30
2011,80,68,71,71,58,62,0,51,28
2012,89,70,64,89,52,69,0,44,28
2013,89,73,75,72,61,72,0,41,41
2014,64,79,82,86,84,69,0,49,41
2015,70,75,87,79,62,64,0,44,41
2016,66,71,50,66,60,70,0,37,81
2017,69,75,93,78,76,86,0,44,44
2018,81,63,70,100,75,77,0,44,47
2019,66,70,72,98,97,71,0,44,52
2020,66,56,66,81,99,59,0,45,62
2021,74,61,67,86,69,62,0,44,66
2022,58,69,74,93,92,71,0,71,52
2023,75,84,44,89,67,60,0,71,51
2024,60,89,63,91,82,66,0,60,44
2025,52,87,67,83,88,63,0,55,40
2026,55,84,70,80,90,65,0,58,42
